first_name,last_name,email,rental_count,total_paid,avg_payment_per_rental
BENJAMIN,VARNEY,BENJAMIN.VARNEY@sakilacustomer.org,23,95.77,4.16
CRAIG,MORRELL,CRAIG.MORRELL@sakilacustomer.org,30,124.70,4.16
JOEL,FRANCISCO,JOEL.FRANCISCO@sakilacustomer.org,23,95.77,4.16
CHESTER,BENNER,CHESTER.BENNER@sakilacustomer.org,24,99.76,4.16
BYRON,BOX,BYRON.BOX@sakilacustomer.org,29,120.71,4.16
BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,25,103.75,4.15
COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,32,132.68,4.15
GARY,COY,GARY.COY@sakilacustomer.org,25,103.75,4.15
CLINTON,BUFORD,CLINTON.BUFORD@sakilacustomer.org,25,103.75,4.15
KELLY,KNOTT,KELLY.KNOTT@sakilacustomer.org,25,103.75,4.15
EDNA,WEST,EDNA.WEST@sakilacustomer.org,26,107.74,4.14
VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,27,111.73,4.14
DEANNA,BYRD,DEANNA.BYRD@sakilacustomer.org,26,107.74,4.14
EARL,SHANKS,EARL.SHANKS@sakilacustomer.org,27,111.73,4.14
DARYL,LARUE,DARYL.LARUE@sakilacustomer.org,27,111.73,4.14
LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,21,86.79,4.13
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,29,119.71,4.13
BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,37,152.63,4.13
REGINALD,KINDER,REGINALD.KINDER@sakilacustomer.org,28,115.72,4.13
MATHEW,BOLIN,MATHEW.BOLIN@sakilacustomer.org,22,90.78,4.13
EMMA,BOYD,EMMA.BOYD@sakilacustomer.org,23,94.77,4.12
ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,24,98.76,4.12
LESTER,KRAUS,LESTER.KRAUS@sakilacustomer.org,16,65.84,4.12
MARC,OUTLAW,MARC.OUTLAW@sakilacustomer.org,30,123.70,4.12
FLOYD,GANDY,FLOYD.GANDY@sakilacustomer.org,17,69.83,4.11
MORRIS,MCCARTER,MORRIS.MCCARTER@sakilacustomer.org,34,139.66,4.11
AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,27,110.73,4.10
EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,28,114.72,4.10
SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,18,73.82,4.10
YOLANDA,WEAVER,YOLANDA.WEAVER@sakilacustomer.org,27,110.73,4.10
MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,37,151.63,4.10
EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,28,114.72,4.10
DENNIS,GILMAN,DENNIS.GILMAN@sakilacustomer.org,28,114.72,4.10
HENRY,BILLINGSLEY,HENRY.BILLINGSLEY@sakilacustomer.org,18,73.82,4.10
BILL,GAVIN,BILL.GAVIN@sakilacustomer.org,28,114.72,4.10
SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,126.69,4.09
ALLEN,BUTTERFIELD,ALLEN.BUTTERFIELD@sakilacustomer.org,21,85.79,4.09
ERIK,GUILLEN,ERIK.GUILLEN@sakilacustomer.org,29,118.71,4.09
DEBBIE,REYES,DEBBIE.REYES@sakilacustomer.org,32,130.68,4.08
LESLIE,GORDON,LESLIE.GORDON@sakilacustomer.org,22,89.78,4.08
HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,32,130.68,4.08
GLENN,PULLEN,GLENN.PULLEN@sakilacustomer.org,23,93.77,4.08
BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,33,134.67,4.08
BRETT,CORNWELL,BRETT.CORNWELL@sakilacustomer.org,34,138.66,4.08
BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,24,97.76,4.07
LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,25,101.75,4.07
BERTHA,FERGUSON,BERTHA.FERGUSON@sakilacustomer.org,25,101.75,4.07
ROGER,QUINTANILLA,ROGER.QUINTANILLA@sakilacustomer.org,36,146.64,4.07
WILLIE,MARKHAM,WILLIE.MARKHAM@sakilacustomer.org,25,101.75,4.07
ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,27,109.73,4.06
GERALD,FULTZ,GERALD.FULTZ@sakilacustomer.org,30,121.70,4.06
TODD,TAN,TODD.TAN@sakilacustomer.org,29,117.71,4.06
DEAN,SAUER,DEAN.SAUER@sakilacustomer.org,27,109.73,4.06
TED,BREAUX,TED.BREAUX@sakilacustomer.org,29,117.71,4.06
VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,32,129.68,4.05
GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,34,137.66,4.05
VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,32,129.68,4.05
JONATHAN,SCARBOROUGH,JONATHAN.SCARBOROUGH@sakilacustomer.org,18,72.82,4.05
BERNARD,COLBY,BERNARD.COLBY@sakilacustomer.org,22,88.78,4.04
BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,26,104.74,4.03
PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,24,96.76,4.03
MARK,RINEHART,MARK.RINEHART@sakilacustomer.org,26,104.74,4.03
FRANCIS,SIKES,FRANCIS.SIKES@sakilacustomer.org,26,104.74,4.03
MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,28,112.72,4.03
RONNIE,RICKETTS,RONNIE.RICKETTS@sakilacustomer.org,25,100.75,4.03
DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,25,99.75,3.99
SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,30,119.70,3.99
DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,115.71,3.99
PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,23,91.77,3.99
MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,32,127.68,3.99
ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,21,83.79,3.99
REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,34,135.66,3.99
CARLA,GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,26,103.74,3.99
GINA,WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,28,111.72,3.99
BECKY,MILES,BECKY.MILES@sakilacustomer.org,29,115.71,3.99
GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,33,131.67,3.99
FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,32,127.68,3.99
JOSHUA,MARK,JOSHUA.MARK@sakilacustomer.org,30,119.70,3.99
SEAN,DOUGLASS,SEAN.DOUGLASS@sakilacustomer.org,23,91.77,3.99
LUIS,YANEZ,LUIS.YANEZ@sakilacustomer.org,20,79.80,3.99
HERMAN,DEVORE,HERMAN.DEVORE@sakilacustomer.org,29,115.71,3.99
CLYDE,TOBIAS,CLYDE.TOBIAS@sakilacustomer.org,29,115.71,3.99
ARMANDO,GRUBER,ARMANDO.GRUBER@sakilacustomer.org,21,83.79,3.99
VIRGIL,WOFFORD,VIRGIL.WOFFORD@sakilacustomer.org,27,107.73,3.99
MARION,OCAMPO,MARION.OCAMPO@sakilacustomer.org,29,115.71,3.99
FREDDIE,DUGGAN,FREDDIE.DUGGAN@sakilacustomer.org,25,99.75,3.99
THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,32,126.68,3.96
VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,32,126.68,3.96
CHRISTY,VARGAS,CHRISTY.VARGAS@sakilacustomer.org,31,122.69,3.96
JORGE,OLIVARES,JORGE.OLIVARES@sakilacustomer.org,34,134.66,3.96
MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,25,98.75,3.95
RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,28,110.72,3.95
SUZANNE,NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,24,94.76,3.95
ERIN,DUNN,ERIN.DUNN@sakilacustomer.org,27,106.73,3.95
VIVIAN,RUIZ,VIVIAN.RUIZ@sakilacustomer.org,23,90.77,3.95
GWENDOLYN,MAY,GWENDOLYN.MAY@sakilacustomer.org,25,98.75,3.95
JEFFREY,SPEAR,JEFFREY.SPEAR@sakilacustomer.org,23,90.77,3.95
RANDY,GAITHER,RANDY.GAITHER@sakilacustomer.org,28,110.72,3.95
MICHEAL,FORMAN,MICHEAL.FORMAN@sakilacustomer.org,26,102.74,3.95
EVERETT,BANDA,EVERETT.BANDA@sakilacustomer.org,28,110.72,3.95
KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,21,82.79,3.94
HERBERT,KRUGER,HERBERT.KRUGER@sakilacustomer.org,20,78.80,3.94
ADRIAN,CLARY,ADRIAN.CLARY@sakilacustomer.org,19,74.81,3.94
IRMA,PEARSON,IRMA.PEARSON@sakilacustomer.org,18,70.82,3.93
PHILIP,CAUSEY,PHILIP.CAUSEY@sakilacustomer.org,31,121.69,3.93
JEFFERY,PINSON,JEFFERY.PINSON@sakilacustomer.org,31,121.69,3.93
CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,30,117.70,3.92
DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,27,105.73,3.92
CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,29,113.71,3.92
KRISTINA,CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,28,109.72,3.92
CLIFFORD,BOWENS,CLIFFORD.BOWENS@sakilacustomer.org,29,113.71,3.92
JULIAN,VEST,JULIAN.VEST@sakilacustomer.org,28,109.72,3.92
TERRENCE,GUNDERSON,TERRENCE.GUNDERSON@sakilacustomer.org,30,117.70,3.92
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,36,140.64,3.91
CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,24,93.76,3.91
WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,26,101.74,3.91
ERIKA,PENA,ERIKA.PENA@sakilacustomer.org,26,101.74,3.91
PHILLIP,HOLM,PHILLIP.HOLM@sakilacustomer.org,26,101.74,3.91
JESSE,SCHILLING,JESSE.SCHILLING@sakilacustomer.org,26,101.74,3.91
MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,23,89.77,3.90
LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,23,89.77,3.90
SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,33,128.67,3.90
DONALD,MAHON,DONALD.MAHON@sakilacustomer.org,23,89.77,3.90
JIM,REA,JIM.REA@sakilacustomer.org,33,128.67,3.90
VICKIE,BREWER,VICKIE.BREWER@sakilacustomer.org,31,120.69,3.89
MANUEL,MURRELL,MANUEL.MURRELL@sakilacustomer.org,30,116.70,3.89
NELSON,CHRISTENSON,NELSON.CHRISTENSON@sakilacustomer.org,20,77.80,3.89
LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,28,108.72,3.88
SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,24,92.76,3.87
JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,25,96.75,3.87
RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,24,92.76,3.87
SUE,PETERS,SUE.PETERS@sakilacustomer.org,40,154.60,3.87
WILLIAM,SATTERFIELD,WILLIAM.SATTERFIELD@sakilacustomer.org,26,100.74,3.87
JOSE,ANDREW,JOSE.ANDREW@sakilacustomer.org,25,96.75,3.87
DUSTIN,GILLETTE,DUSTIN.GILLETTE@sakilacustomer.org,26,100.74,3.87
SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,30,115.70,3.86
HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,30,115.70,3.86
PATRICK,NEWSOM,PATRICK.NEWSOM@sakilacustomer.org,31,119.69,3.86
MARCUS,HIDALGO,MARCUS.HIDALGO@sakilacustomer.org,30,115.70,3.86
RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,22,84.78,3.85
SAMUEL,MARLOW,SAMUEL.MARLOW@sakilacustomer.org,21,80.79,3.85
CHRIS,BROTHERS,CHRIS.BROTHERS@sakilacustomer.org,22,84.78,3.85
TERRANCE,ROUSH,TERRANCE.ROUSH@sakilacustomer.org,29,111.71,3.85
DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,27,103.73,3.84
JENNY,CASTRO,JENNY.CASTRO@sakilacustomer.org,27,103.73,3.84
MARTIN,BALES,MARTIN.BALES@sakilacustomer.org,27,103.73,3.84
IVAN,CROMWELL,IVAN.CROMWELL@sakilacustomer.org,26,99.74,3.84
KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,25,95.75,3.83
ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,37,141.63,3.83
CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,25,95.75,3.83
NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,32,122.68,3.83
EDGAR,RHOADS,EDGAR.RHOADS@sakilacustomer.org,25,95.75,3.83
ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,23,87.77,3.82
EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,24,91.76,3.82
PENNY,NEAL,PENNY.NEAL@sakilacustomer.org,18,68.82,3.82
VICTOR,BARKLEY,VICTOR.BARKLEY@sakilacustomer.org,24,91.76,3.82
KEN,PREWITT,KEN.PREWITT@sakilacustomer.org,29,110.71,3.82
BOB,PFEIFFER,BOB.PFEIFFER@sakilacustomer.org,24,91.76,3.82
ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,38,144.62,3.81
WADE,DELVALLE,WADE.DELVALLE@sakilacustomer.org,22,83.78,3.81
NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,21,79.79,3.80
RUSSELL,BRINSON,RUSSELL.BRINSON@sakilacustomer.org,36,136.64,3.80
JACOB,LANCE,JACOB.LANCE@sakilacustomer.org,21,79.79,3.80
ELMER,NOE,ELMER.NOE@sakilacustomer.org,26,98.74,3.80
TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,41,155.59,3.79
SCOTT,SHELLEY,SCOTT.SHELLEY@sakilacustomer.org,25,94.75,3.79
EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,19,71.81,3.78
JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,33,124.67,3.78
EUGENE,CULPEPPER,EUGENE.CULPEPPER@sakilacustomer.org,19,71.81,3.78
VERA,MCCOY,VERA.MCCOY@sakilacustomer.org,18,67.82,3.77
CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,26,97.74,3.76
GERALDINE,PERKINS,GERALDINE.PERKINS@sakilacustomer.org,30,112.70,3.76
RENEE,LANE,RENEE.LANE@sakilacustomer.org,26,97.74,3.76
KRISTIN,JOHNSTON,KRISTIN.JOHNSTON@sakilacustomer.org,31,116.69,3.76
MABEL,HOLLAND,MABEL.HOLLAND@sakilacustomer.org,30,112.70,3.76
MELVIN,ELLINGTON,MELVIN.ELLINGTON@sakilacustomer.org,26,97.74,3.76
THEODORE,CULP,THEODORE.CULP@sakilacustomer.org,31,116.69,3.76
LANCE,PEMBERTON,LANCE.PEMBERTON@sakilacustomer.org,22,82.78,3.76
MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,34,127.66,3.75
JOANNE,ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,34,127.66,3.75
TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,25,93.75,3.75
JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,25,93.75,3.75
REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,24,89.76,3.74
SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,32,119.68,3.74
JEANETTE,GREENE,JEANETTE.GREENE@sakilacustomer.org,20,74.80,3.74
JACK,FOUST,JACK.FOUST@sakilacustomer.org,24,89.76,3.74
WAYNE,TRUONG,WAYNE.TRUONG@sakilacustomer.org,19,70.81,3.73
BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,22,81.78,3.72
CLAYTON,BARBEE,CLAYTON.BARBEE@sakilacustomer.org,26,96.74,3.72
MARY,SMITH,MARY.SMITH@sakilacustomer.org,32,118.68,3.71
JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,29,107.71,3.71
MELANIE,ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,25,92.75,3.71
LEROY,BUSTAMANTE,LEROY.BUSTAMANTE@sakilacustomer.org,32,118.68,3.71
NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,28,103.72,3.70
HOLLY,FOX,HOLLY.FOX@sakilacustomer.org,31,114.69,3.70
MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,31,114.69,3.70
JEREMY,HURTADO,JEREMY.HURTADO@sakilacustomer.org,28,103.72,3.70
CHRISTIAN,JUNG,CHRISTIAN.JUNG@sakilacustomer.org,24,88.76,3.70
JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,23,84.77,3.69
JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,30,110.70,3.69
ROBERTA,HARPER,ROBERTA.HARPER@sakilacustomer.org,23,84.77,3.69
JO,FOWLER,JO.FOWLER@sakilacustomer.org,20,73.80,3.69
KYLE,SPURLOCK,KYLE.SPURLOCK@sakilacustomer.org,30,110.70,3.69
ROSS,GREY,ROSS.GREY@sakilacustomer.org,27,99.73,3.69
CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,34,124.66,3.67
DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,31,113.69,3.67
RICKY,SHELBY,RICKY.SHELBY@sakilacustomer.org,25,91.75,3.67
DARRELL,POWER,DARRELL.POWER@sakilacustomer.org,25,91.75,3.67
PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,27,98.73,3.66
COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,24,87.76,3.66
JON,WILES,JON.WILES@sakilacustomer.org,24,87.76,3.66
MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,32,116.68,3.65
JIMMY,SCHRADER,JIMMY.SCHRADER@sakilacustomer.org,29,105.71,3.65
MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,123.66,3.64
APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,26,94.74,3.64
TERRY,GRISSOM,TERRY.GRISSOM@sakilacustomer.org,20,72.80,3.64
LEONA,OBRIEN,LEONA.OBRIEN@sakilacustomer.org,14,50.86,3.63
RAY,HOULE,RAY.HOULE@sakilacustomer.org,22,79.78,3.63
CAROLE,BARNETT,CAROLE.BARNETT@sakilacustomer.org,30,108.70,3.62
GENE,SANBORN,GENE.SANBORN@sakilacustomer.org,27,97.73,3.62
ANGEL,BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,32,115.68,3.62
HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,34,122.66,3.61
HOWARD,FORTNER,HOWARD.FORTNER@sakilacustomer.org,26,93.74,3.61
MARVIN,YEE,MARVIN.YEE@sakilacustomer.org,21,75.79,3.61
JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,28,100.72,3.60
JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,36,129.64,3.60
LAUREN,HUDSON,LAUREN.HUDSON@sakilacustomer.org,20,71.80,3.59
ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,20,71.80,3.59
ERNEST,STEPP,ERNEST.STEPP@sakilacustomer.org,25,89.75,3.59
JEFF,EAST,JEFF.EAST@sakilacustomer.org,30,107.70,3.59
CHAD,CARBONE,CHAD.CARBONE@sakilacustomer.org,25,89.75,3.59
IAN,STILL,IAN.STILL@sakilacustomer.org,27,96.73,3.58
FRED,WHEAT,FRED.WHEAT@sakilacustomer.org,25,88.75,3.55
LUCY,WHEELER,LUCY.WHEELER@sakilacustomer.org,26,91.74,3.53
JESSIE,BANKS,JESSIE.BANKS@sakilacustomer.org,26,91.74,3.53
LLOYD,DOWD,LLOYD.DOWD@sakilacustomer.org,19,66.81,3.52
TONY,CARRANZA,TONY.CARRANZA@sakilacustomer.org,21,73.79,3.51
ROLAND,SOUTH,ROLAND.SOUTH@sakilacustomer.org,23,80.77,3.51
CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,111.68,3.49
PEARL,GARZA,PEARL.GARZA@sakilacustomer.org,22,76.78,3.49
CLARENCE,GAMEZ,CLARENCE.GAMEZ@sakilacustomer.org,30,104.70,3.49
DEREK,BLAKELY,DEREK.BLAKELY@sakilacustomer.org,28,97.72,3.49
LYDIA,BURKE,LYDIA.BURKE@sakilacustomer.org,24,82.76,3.45
KEITH,RICO,KEITH.RICO@sakilacustomer.org,26,89.74,3.45
JAY,ROBB,JAY.ROBB@sakilacustomer.org,26,89.74,3.45
ENRIQUE,FORSYTHE,ENRIQUE.FORSYTHE@sakilacustomer.org,28,96.72,3.45
KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,27,92.73,3.43
MEGAN,PALMER,MEGAN.PALMER@sakilacustomer.org,27,92.73,3.43
ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,27,92.73,3.43
LEONARD,SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,32,109.68,3.43
ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,28,95.72,3.42
GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,23,78.77,3.42
BILLIE,HORTON,BILLIE.HORTON@sakilacustomer.org,26,88.74,3.41
CORY,MEEHAN,CORY.MEEHAN@sakilacustomer.org,24,81.76,3.41
KIRK,STCLAIR,KIRK.STCLAIR@sakilacustomer.org,19,64.81,3.41
FRANKLIN,TROUTMAN,FRANKLIN.TROUTMAN@sakilacustomer.org,22,74.78,3.40
CAROLINE,BOWMAN,CAROLINE.BOWMAN@sakilacustomer.org,15,50.85,3.39
IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,23,77.77,3.38
BOBBIE,CRAIG,BOBBIE.CRAIG@sakilacustomer.org,24,80.76,3.37
TOM,MILNER,TOM.MILNER@sakilacustomer.org,32,107.68,3.37
JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,28,93.72,3.35
IDA,ANDREWS,IDA.ANDREWS@sakilacustomer.org,23,76.77,3.34
DARRYL,ASHCRAFT,DARRYL.ASHCRAFT@sakilacustomer.org,23,76.77,3.34
THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,30,99.70,3.32
JILL,HAWKINS,JILL.HAWKINS@sakilacustomer.org,21,68.79,3.28
ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,18,58.82,3.27
LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,35,113.65,3.25
HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,34,110.66,3.25
LAWRENCE,LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,31,100.69,3.25
JUAN,FRALEY,JUAN.FRALEY@sakilacustomer.org,23,73.77,3.21
ALBERTO,HENNING,ALBERTO.HENNING@sakilacustomer.org,21,66.79,3.18
SAMANTHA,DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,23,71.77,3.12
NORMAN,CURRIER,NORMAN.CURRIER@sakilacustomer.org,26,80.74,3.11
FELICIA,SUTTON,FELICIA.SUTTON@sakilacustomer.org,28,86.72,3.10
FELIX,GAFFNEY,FELIX.GAFFNEY@sakilacustomer.org,24,73.76,3.07
WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,30,91.70,3.06
JUDITH,COX,JUDITH.COX@sakilacustomer.org,33,100.67,3.05
BOBBY,BOUDREAU,BOBBY.BOUDREAU@sakilacustomer.org,35,106.65,3.05
JOHNNY,TURPIN,JOHNNY.TURPIN@sakilacustomer.org,19,57.81,3.04
MATTIE,HOFFMAN,MATTIE.HOFFMAN@sakilacustomer.org,22,64.78,2.94
